679 3725148 5160
680 3730308 5596
681 3735904 6206
682 3742110 3468
683 3745578 5239
684 3750817 4740
685 3755557 4819
686 3760376 3781
687 3764157 6843
688 3771000 4827
689 3775827 4465
690 3780292 2289
691 3782581 25033
692 3807614 4772
693 3812386 5077
694 3817463 9490
695 3826953 10295
696 3837248 4175
697 3841423 4326
698 3845749 3921
699 3849670 5924
700 3855594 24228
702 3879822 5147
703 3884969 5160
704 3890129 5462
705 3895591 3979
706 3899570 3303
707 3902873 3866
708 3906739 4613
709 3911352 4892
710 3916244 19087
711 3935331 2330
712 3937661 4711
713 3942372 8022
714 3950394 7909
716 3958303 5062
717 3963365 7568
718 3970933 5094
729 3976027 23890
730 3999917 2308
731 4002225 3815
732 4006040 6742
733 4012782 4743
734 4017525 4966
735 4022491 3490
736 4025981 15586
737 4041567 4800
738 4046367 4023
739 4050390 4090
741 4054480 4597
742 4059077 9062
743 4068139 4142
744 4072281 4532
745 4076813 4589
746 4081402 3014
747 4084416 9013
748 4093429 8253
749 4101682 2363
750 4104045 3771
751 4107816 5219
752 4113035 5193
753 4118228 4895
754 4123123 19067
755 4142190 4765
756 4146955 6396
757 4153351 2718
758 4156069 3422
759 4159491 5198
760 4164689 2797
761 4167486 11007
762 4178493 4468
773 4182961 22468
775 4205429 4488
776 4209917 4379
777 4214296 5267
778 4219563 2576
779 4222139 4369
780 4226508 3714
781 4230222 4344
782 4234566 6246
783 4240812 27008
785 4267820 5339
788 4273159 5162
789 4278321 16046
790 4294367 2167
791 4296534 2532
792 4299066 4100
793 4303166 3182
794 4306348 4191
795 4310539 3614
796 4314153 10982
797 4325135 10429
798 4335564 5471
799 4341035 13138
809 4354173 6719
810 4360892 4955
811 4365847 32153
812 4398000 2260
813 4400260 13202
814 4413462 11100
815 4424562 7206
816 4431768 3629
817 4435397 12612
818 4448009 4453
819 4452462 2947
820 4455409 8494
821 4463903 2716
822 4466619 3292
823 4469911 2287
824 4472198 4451
825 4476649 16509
827 4493158 4304
828 4497462 7319
829 4504781 4364
830 4509145 1977
831 4511122 5650
832 4516772 21921
833 4538693 2326
834 4541019 1951
835 4542970 2468
836 4545438 2837
837 4548275 18695
838 4566970 4323
839 4571293 6583
840 4577876 9943
841 4587819 4686
842 4592505 4506
843 4597011 3852
844 4600863 1949
845 4602812 6807
846 4609619 2759
847 4612378 5087
848 4617465 3340
849 4620805 7241
850 4628046 3645
851 4631691 4920
852 4636611 7080
853 4643691 4670
854 4648361 5741
855 4654102 4418
857 4658520 22678
858 4681198 4666
859 4685864 3841
860 4689705 13548
861 4703253 2093
862 4705346 2088
863 4707434 2183
864 4709617 3021
865 4712638 1747
866 4714385 19689
867 4734074 4517
868 4738591 3828
869 4742419 4779
870 4747198 2712
871 4749910 2513
872 4752423 2279
873 4754702 2986
874 4757688 2414
875 4760102 3009
876 4763111 23011
877 4786122 4540
878 4790662 7358
879 4798020 2284
880 4800304 4105
881 4804409 2015
882 4806424 2062
883 4808486 3839
884 4812325 6193
885 4818518 5888
886 4824406 4426
887 4828832 4784
888 4833616 5368
889 4838984 3899
890 4842883 4876
891 4847759 4599
892 4852358 24786
894 4877144 4155
895 4881299 4155
896 4885454 4669
897 4890123 2698
899 4892821 2471
900 4895292 2471
901 4897763 2905
902 4900668 16869
903 4917537 4516
904 4922053 4519
905 4926572 2138
906 4928710 8394
907 4937104 2441
908 4939545 2925
909 4942470 2839
910 4945309 2899
911 4948208 20721
912 4968929 5470
913 4974399 4205
914 4978604 10183
915 4988787 10961
916 4999748 2324
917 5002072 4578
918 5006650 2910
919 5009560 5264
920 5014824 4091
921 5018915 6661
922 5025576 6869
923 5032445 3516
924 5035961 4259
925 5040220 3211
926 5043431 4820
927 5048251 1994
928 5050245 5162
929 5055407 24033
930 5079440 2236
931 5081676 4027
932 5085703 4296
934 5089999 2456
935 5092455 15646
937 5108101 3193
938 5111294 4245
939 5115539 2736
940 5118275 2531
941 5120806 21506
942 5142312 4213
943 5146525 16581
944 5163106 4070
946 5167176 4288
947 5171464 17183
948 5188647 4635
949 5193282 2136
950 5195418 13056
951 5208474 9819
952 5218293 5297
953 5223590 5602
954 5229192 3039
955 5232231 4289
956 5236520 9036
957 5245556 5645
958 5251201 5207
959 5256408 7141
960 5263549 6876
961 5270425 6687
962 5277112 5238
963 5282350 29553
964 5311903 3328
965 5315231 3974
966 5319205 5555
967 5324760 2707
968 5327467 7661
969 5335128 1977
970 5337105 2355
971 5339460 3056
972 5342516 4425
973 5346941 3080
974 5350021 2699
975 5352720 3853
976 5356573 2970
977 5359543 21303
978 5380846 5754
979 5386600 7463
980 5394063 4214
981 5398277 4692
982 5402969 1985
983 5404954 6246
984 5411200 2915
985 5414115 2524
986 5416639 2261
987 5418900 3125
988 5422025 13910
989 5435935 4269
990 5440204 4700
991 5444904 1873
992 5446777 4541
993 5451318 5672
994 5456990 2326
995 5459316 2474
996 5461790 4678
997 5466468 3627
998 5470095 9180
999 5479275 7562
1000 5486837 4201
1001 5491038 5327
1002 5496365 3046
1003 5499411 16013
1004 5515424 5034
1005 5520458 6072
1006 5526530 4411
1007 5530941 2313
1008 5533254 2735
1009 5535989 2059
1010 5538048 2911
1011 5540959 2523
1012 5543482 13051
1013 5556533 4773
1014 5561306 4872
1015 5566178 7351
1016 5573529 2077
1017 5575606 6242
1018 5581848 12418
1019 5594266 5930
1020 5600196 5299
1022 5605495 7442
1023 5612937 2294
1025 5615231 2517
1026 5617748 2782
1027 5620530 17566
1028 5638096 4132
1029 5642228 5289
1030 5647517 2396
1031 5649913 2378
1032 5652291 6503
1033 5658794 7257
1034 5666051 4690
1035 5670741 3675
1036 5674416 1913
1037 5676329 4099
1038 5680428 4541
1039 5684969 2739
1041 5687708 5201
1042 5692909 2204
1043 5695113 22510
1045 5717623 4009
1046 5721632 3737
1047 5725369 4151
1048 5729520 2810
1049 5732330 2496
1050 5734826 17056
1051 5751882 5106
1052 5756988 3365
